Регион,Тип города,Город,Часовой пояс
Ростовская,г,Гуково,UTC744
Ростовская,г,Донецк,UTC745
Ростовская,г,Зверево,UTC746
Ростовская,г,Зерноград,UTC747
Ростовская,г,Каменск-Шахтинский,UTC748
Ростовская,г,Константиновск,UTC749
Ростовская,г,Красный Сулин,UTC750
Ростовская,г,Миллерово,UTC751
Ростовская,г,Морозовск,UTC752
Ростовская,г,Новочеркасск,UTC753
Ростовская,г,Новошахтинск,UTC754
Ростовская,г,Пролетарск,UTC755
Ростовская,г,Ростов-на-Дону,UTC756
Ростовская,г,Сальск,UTC757
Ростовская,г,Семикаракорск,UTC758
Ростовская,г,Таганрог,UTC759
Ростовская,г,Цимлянск,UTC760
Ростовская,г,Шахты,UTC761
Рязанская,г,Касимов,UTC762
Рязанская,г,Кораблино,UTC763
Рязанская,г,Михайлов,UTC764
Рязанская,г,Новомичуринск,UTC765
Рязанская,г,Рыбное,UTC766
Рязанская,г,Ряжск,UTC767
Рязанская,г,Рязань,UTC768
Рязанская,г,Сасово,UTC769
Рязанская,г,Скопин,UTC770
Рязанская,г,Спас-Клепики,UTC771
Рязанская,г,Спасск-Рязанский,UTC772
Рязанская,г,Шацк,UTC773
Самарская,г,Жигулевск,UTC775
Самарская,г,Кинель,UTC776
Самарская,г,Нефтегорск,UTC777
Самарская,г,Новокуйбышевск,UTC778
Самарская,г,Октябрьск,UTC779
Самарская,г,Отрадный,UTC780
Самарская,г,Похвистнево,UTC781
Самарская,г,Самара,UTC782
Самарская,г,Сызрань,UTC783
Самарская,г,Тольятти,UTC784
Самарская,г,Чапаевск,UTC785
Санкт-Петербург,,,UTC785
Саратовская,г,Аркадак,UTC787
Саратовская,г,Аткарск,UTC788
Саратовская,г,Балаково,UTC789
Саратовская,г,Балашов,UTC790
Саратовская,г,Вольск,UTC791
Саратовская,г,Ершов,UTC792
Саратовская,г,Калининск,UTC793
Саратовская,г,Красноармейск,UTC794
Саратовская,г,Красный Кут,UTC795
Саратовская,г,Маркс,UTC796
Саратовская,г,Новоузенск,UTC797
Саратовская,г,Петровск,UTC798
Саратовская,г,Пугачев,UTC799
Саратовская,г,Ртищево,UTC800
Саратовская,г,Саратов,UTC801
Саратовская,г,Хвалынск,UTC802
Саратовская,г,Шиханы,UTC803
Саратовская,г,Энгельс,UTC804
Сахалинская,г,Александровск-Сахалинский,UTC812
Сахалинская,г,Анива,UTC813
Сахалинская,г,Долинск,UTC814
Сахалинская,г,Корсаков,UTC815
Сахалинская,г,Курильск,UTC816
Сахалинская,г,Макаров,UTC817
Сахалинская,г,Невельск,UTC818
Сахалинская,г,Оха,UTC819
Сахалинская,г,Поронайск,UTC820
Сахалинская,г,Северо-Курильск,UTC821
Сахалинская,г,Томари,UTC822
Сахалинская,г,Углегорск,UTC823
Сахалинская,г,Холмск,UTC824
Сахалинская,г,Южно-Сахалинск,UTC825
Свердловская,г,Алапаевск,UTC820
Свердловская,г,Арамиль,UTC821
Свердловская,г,Артемовский,UTC822
Свердловская,г,Асбест,UTC823
Свердловская,г,Березовский,UTC824
Свердловская,г,Богданович,UTC825
Свердловская,г,Верхний Тагил,UTC826
Свердловская,г,Верхняя Пышма,UTC827
Свердловская,г,Верхняя Салда,UTC828
Свердловская,г,Верхняя Тура,UTC829
Свердловская,г,Верхотурье,UTC830
Свердловская,г,Волчанск,UTC831
Свердловская,г,Дегтярск,UTC832
Свердловская,г,Екатеринбург,UTC833
Свердловская,г,Заречный,UTC834
Свердловская,г,Ивдель,UTC835
Свердловская,г,Ирбит,UTC836
Свердловская,г,Каменск-Уральский,UTC837
Свердловская,г,Камышлов,UTC838
Свердловская,г,Карпинск,UTC839
Свердловская,г,Качканар,UTC840
Свердловская,г,Кировград,UTC841
Свердловская,г,Краснотурьинск,UTC842
Свердловская,г,Красноуральск,UTC843
Свердловская,г,Красноуфимск,UTC844
Свердловская,г,Кушва,UTC845
Свердловская,г,Лесной,UTC846
Свердловская,г,Михайловск,UTC847
Свердловская,г,Невьянск,UTC848
Свердловская,г,Нижние Серги,UTC849
Свердловская,г,Нижний Тагил,UTC850
Свердловская,г,Нижняя Салда,UTC851
Свердловская,г,Нижняя Тура,UTC852
Свердловская,г,Новая Ляля,UTC853
Свердловская,г,Новоуральск,UTC854
Свердловская,г,Первоуральск,UTC855
Свердловская,г,Полевской,UTC856
Свердловская,г,Ревда,UTC857
Свердловская,г,Реж,UTC858
Свердловская,г,Североуральск,UTC859
Свердловская,г,Серов,UTC860
Свердловская,г,Среднеуральск,UTC861
Свердловская,г,Сухой Лог,UTC862
Свердловская,г,Сысерть,UTC863
Свердловская,г,Тавда,UTC864
Свердловская,г,Талица,UTC865
Свердловская,г,Туринск,UTC866
Севастополь,г,Инкерман,UTC865
Севастополь,,,UTC866
Северная Осетия - Алания,г,Алагир,UTC867
Северная Осетия - Алания,г,Ардон,UTC868
Северная Осетия - Алания,г,Беслан,UTC869
Северная Осетия - Алания,г,Владикавказ,UTC870
Северная Осетия - Алания,г,Дигора,UTC871
Северная Осетия - Алания,г,Моздок,UTC872
Смоленская,г,Велиж,UTC873
Смоленская,г,Вязьма,UTC874
Смоленская,г,Гагарин,UTC875
Смоленская,г,Демидов,UTC876
Смоленская,г,Десногорск,UTC877
Смоленская,г,Дорогобуж,UTC878
Смоленская,г,Духовщина,UTC879
Смоленская,г,Ельня,UTC880
Смоленская,г,Починок,UTC881
Смоленская,г,Рославль,UTC882
Смоленская,г,Рудня,UTC883
Смоленская,г,Сафоново,UTC884
Смоленская,г,Смоленск,UTC885
Смоленская,г,Сычевка,UTC886
Смоленская,г,Ярцево,UTC887
Ставропольский,г,Благодарный,UTC888
Ставропольский,г,Буденновск,UTC889
Ставропольский,г,Георгиевск,UTC890
Ставропольский,г,Ессентуки,UTC891
Ставропольский,г,Железноводск,UTC892
Ставропольский,г,Зеленокумск,UTC893
Ставропольский,г,Изобильный,UTC894
Ставропольский,г,Ипатово,UTC895
Ставропольский,г,Кисловодск,UTC896
Ставропольский,г,Лермонтов,UTC897
Ставропольский,г,Минеральные Воды,UTC898
Ставропольский,г,Михайловск,UTC899
Ставропольский,г,Невинномысск,UTC900
Ставропольский,г,Нефтекумск,UTC901
Ставропольский,г,Новоалександровск,UTC902
Ставропольский,г,Новопавловск,UTC903
Ставропольский,г,Пятигорск,UTC904
Ставропольский,г,Светлоград,UTC905
Ставропольский,г,Ставрополь,UTC906
Тамбовская,г,Жердевка,UTC907
Тамбовская,г,Кирсанов,UTC908
Тамбовская,г,Котовск,UTC909
Тамбовская,г,Мичуринск,UTC910
Тамбовская,г,Моршанск,UTC911
Тамбовская,г,Рассказово,UTC912
Тамбовская,г,Тамбов,UTC913
Тамбовская,г,Уварово,UTC914
Татарстан,г,Агрыз,UTC915
Татарстан,г,Азнакаево,UTC916
Татарстан,г,Альметьевск,UTC917
Татарстан,г,Арск,UTC918
Татарстан,г,Бавлы,UTC919
Татарстан,г,Болгар,UTC920
Татарстан,г,Бугульма,UTC921
Татарстан,г,Буинск,UTC922
Татарстан,г,Елабуга,UTC923
Татарстан,г,Заинск,UTC924
Татарстан,г,Зеленодольск,UTC925
Татарстан,г,Иннополис,UTC926
Татарстан,г,Казань,UTC927
Татарстан,г,Лаишево,UTC928
Татарстан,г,Лениногорск,UTC929
Татарстан,г,Мамадыш,UTC930
Татарстан,г,Менделеевск,UTC931
Татарстан,г,Мензелинск,UTC932
Татарстан,г,Набережные Челны,UTC933
Татарстан,г,Нижнекамск,UTC934
Татарстан,г,Нурлат,UTC935
Татарстан,г,Тетюши,UTC936
Татарстан,г,Чистополь,UTC937
Тверская,г,Андреаполь,UTC938
Тверская,г,Бежецк,UTC939
Тверская,г,Белый,UTC940
Тверская,г,Бологое,UTC941
Тверская,г,Весьегонск,UTC942
Тверская,г,Вышний Волочек,UTC943
Тверская,г,Западная Двина,UTC944
Тверская,г,Зубцов,UTC945
Тверская,г,Калязин,UTC946
Тверская,г,Кашин,UTC947
Тверская,г,Кимры,UTC948
Тверская,г,Конаково,UTC949
Тверская,г,Красный Холм,UTC950
Тверская,г,Кувшиново,UTC951
Тверская,г,Лихославль,UTC952
Тверская,г,Нелидово,UTC953
Тверская,г,Осташков,UTC954
Тверская,г,Ржев,UTC955
Тверская,г,Старица,UTC956
Тверская,г,Тверь,UTC957
Тверская,г,Торжок,UTC958
Тверская,г,Торопец,UTC959
Тверская,г,Удомля,UTC960
Томская,г,Асино,UTC965
Томская,г,Кедровый,UTC966
Томская,г,Колпашево,UTC967
Томская,г,Северск,UTC968
Томская,г,Стрежевой,UTC969
Томская,г,Томск,UTC970
Тульская,г,Алексин,UTC967
Тульская,г,Белев,UTC968
Тульская,г,Богородицк,UTC969
Тульская,г,Болохово,UTC970
Тульская,г,Венев,UTC971
Тульская,г,Донской,UTC972
Тульская,г,Ефремов,UTC973
Тульская,г,Кимовск,UTC974
Тульская,г,Киреевск,UTC975
Тульская,г,Липки,UTC976
Тульская,г,Новомосковск,UTC977
Тульская,г,Плавск,UTC978
Тульская,г,Советск,UTC979
Тульская,г,Суворов,UTC980
Тульская,г,Тула,UTC981
Тульская,г,Узловая,UTC982
Тульская,г,Чекалин,UTC983
Тульская,г,Щекино,UTC984
Тульская,г,Ясногорск,UTC985
Тыва,г,Ак-Довурак,UTC990
Тыва,г,Кызыл,UTC991
Тыва,г,Туран,UTC992
Тыва,г,Чадан,UTC993
Тыва,г,Шагонар,UTC994
Тюменская,г,Заводоуковск,UTC993
Тюменская,г,Ишим,UTC994
Тюменская,г,Тобольск,UTC995
Тюменская,г,Тюмень,UTC996
Тюменская,г,Ялуторовск,UTC997
Удмуртская,г,Воткинск,UTC997
Удмуртская,г,Глазов,UTC998
Удмуртская,г,Ижевск,UTC999
Удмуртская,г,Камбарка,UTC1000
Удмуртская,г,Можга,UTC1001
Удмуртская,г,Сарапул,UTC1002
Ульяновская,г,Барыш,UTC1003
Ульяновская,г,Димитровград,UTC1004
Ульяновская,г,Инза,UTC1005
Ульяновская,г,Новоульяновск,UTC1006
Ульяновская,г,Сенгилей,UTC1007
Ульяновская,г,Ульяновск,UTC1008
Хабаровский,г,Амурск,UTC1015
Хабаровский,г,Бикин,UTC1016
Хабаровский,г,Вяземский,UTC1017
Хабаровский,г,Комсомольск-на-Амуре,UTC1018
Хабаровский,г,Николаевск-на-Амуре,UTC1019
Хабаровский,г,Советская Гавань,UTC1020
Хабаровский,г,Хабаровск,UTC1021
Хакасия,г,Абаза,UTC1019
Хакасия,г,Абакан,UTC1020
Хакасия,г,Саяногорск,UTC1021
Хакасия,г,Сорск,UTC1022
Хакасия,г,Черногорск,UTC1023
Ханты-Мансийский Автономный округ - Югра,г,Белоярский,UTC1022
Ханты-Мансийский Автономный округ - Югра,г,Когалым,UTC1023
Ханты-Мансийский Автономный округ - Югра,г,Лангепас,UTC1024
Ханты-Мансийский Автономный округ - Югра,г,Лянтор,UTC1025
Ханты-Мансийский Автономный округ - Югра,г,Мегион,UTC1026
Ханты-Мансийский Автономный округ - Югра,г,Нефтеюганск,UTC1027
Ханты-Мансийский Автономный округ - Югра,г,Нижневартовск,UTC1028
Ханты-Мансийский Автономный округ - Югра,г,Нягань,UTC1029
Ханты-Мансийский Автономный округ - Югра,г,Покачи,UTC1030
Ханты-Мансийский Автономный округ - Югра,г,Пыть-Ях,UTC1031
Ханты-Мансийский Автономный округ - Югра,г,Радужный,UTC1032
Ханты-Мансийский Автономный округ - Югра,г,Советский,UTC1033
Ханты-Мансийский Автономный округ - Югра,г,Сургут,UTC1034
Ханты-Мансийский Автономный округ - Югра,г,Урай,UTC1035
Ханты-Мансийский Автономный округ - Югра,г,Ханты-Мансийск,UTC1036
Ханты-Мансийский Автономный округ - Югра,г,Югорск,UTC1037
Челябинская,г,Аша,UTC1038
Челябинская,г,Бакал,UTC1039
Челябинская,г,Верхнеуральск,UTC1040
Челябинская,г,Верхний Уфалей,UTC1041
Челябинская,г,Еманжелинск,UTC1042
Челябинская,г,Златоуст,UTC1043
Челябинская,г,Карабаш,UTC1044
Челябинская,г,Карталы,UTC1045
Челябинская,г,Касли,UTC1046
Челябинская,г,Катав-Ивановск,UTC1047
Челябинская,г,Копейск,UTC1048
Челябинская,г,Коркино,UTC1049
Челябинская,г,Куса,UTC1050
Челябинская,г,Кыштым,UTC1051
Челябинская,г,Магнитогорск,UTC1052
Челябинская,г,Миасс,UTC1053
Челябинская,г,Миньяр,UTC1054
Челябинская,г,Нязепетровск,UTC1055
Челябинская,г,Озерск,UTC1056
Челябинская,г,Пласт,UTC1057
Челябинская,г,Сатка,UTC1058
Челябинская,г,Сим,UTC1059
Челябинская,г,Снежинск,UTC1060
Челябинская,г,Трехгорный,UTC1061
Челябинская,г,Троицк,UTC1062
Челябинская,г,Усть-Катав,UTC1063
Челябинская,г,Чебаркуль,UTC1064
Челябинская,г,Челябинск,UTC1065
Челябинская,г,Южноуральск,UTC1066
Челябинская,г,Юрюзань,UTC1067
Чеченская,г,Аргун,UTC1066
Чеченская,г,Грозный,UTC1067
Чеченская,г,Гудермес,UTC1068
Чеченская,,,UTC1069
Чеченская,г,Шали,UTC1070
Чувашская Республика,г,Алатырь,UTC1071
Чувашская Республика,г,Канаш,UTC1072
Чувашская Республика,г,Козловка,UTC1073
Чувашская Республика,г,Мариинский Посад,UTC1074
Чувашская Республика,г,Новочебоксарск,UTC1075
Чувашская Республика,г,Цивильск,UTC1076
Чувашская Республика,г,Чебоксары,UTC1077
Чувашская Республика,г,Шумерля,UTC1078
Чувашская Республика,г,Ядрин,UTC1079
Чукотский,г,Анадырь,UTC1089
Чукотский,г,Билибино,UTC1090
Чукотский,г,Певек,UTC1091
Саха /Якутия/,г,Алдан,UTC1089
Саха /Якутия/,г,Верхоянск,UTC1091
Саха /Якутия/,г,Вилюйск,UTC1091
Саха /Якутия/,г,Ленск,UTC1092
Саха /Якутия/,г,Мирный,UTC1093
Саха /Якутия/,г,Нерюнгри,UTC1094
Саха /Якутия/,г,Нюрба,UTC1095
Саха /Якутия/,г,Олекминск,UTC1096
Саха /Якутия/,г,Покровск,UTC1097
Саха /Якутия/,г,Среднеколымск,UTC1100
Саха /Якутия/,г,Томмот,UTC1099
Саха /Якутия/,г,Удачный,UTC1100
Саха /Якутия/,г,Якутск,UTC1101
Ямало-Ненецкий,г,Губкинский,UTC1098
Ямало-Ненецкий,г,Лабытнанги,UTC1099
Ямало-Ненецкий,г,Муравленко,UTC1100
Ямало-Ненецкий,г,Надым,UTC1101
Ямало-Ненецкий,г,Новый Уренгой,UTC1102
Ямало-Ненецкий,г,Ноябрьск,UTC1103
Ямало-Ненецкий,г,Салехард,UTC1104
Ямало-Ненецкий,г,Тарко-Сале,UTC1105
Ярославская,г,Гаврилов-Ям,UTC1104
Ярославская,г,Данилов,UTC1105
Ярославская,г,Любим,UTC1106
Ярославская,г,Мышкин,UTC1107
Ярославская,г,Переславль-Залесский,UTC1108
Ярославская,г,Пошехонье,UTC1109
Ярославская,г,Ростов,UTC1110
Ярославская,г,Рыбинск,UTC1111
Ярославская,г,Тутаев,UTC1112
Ярославская,г,Углич,UTC1113
Ярославская,г,Ярославль,UTC1114
